,WIN$N_open,WIN$N_close,WIN$N_high,WIN$N_low,WIN$N_tick_volume,WIN$N_real_volume,WIN$N_spread
632648,103465.0,103430.0,103495.0,103425.0,1864,7425,5
632649,103430.0,103385.0,103430.0,103350.0,5883,20929,5
632650,103380.0,103445.0,103465.0,103365.0,3300,10734,5
632651,103445.0,103460.0,103495.0,103430.0,3629,12869,5
632652,103465.0,103480.0,103495.0,103450.0,1907,7351,5
632653,103480.0,103470.0,103485.0,103425.0,2373,8878,5
632654,103465.0,103500.0,103510.0,103450.0,2704,11251,5
632655,103500.0,103490.0,103520.0,103475.0,2497,10605,5
632656,103490.0,103465.0,103500.0,103455.0,2711,12636,5
632657,103460.0,103505.0,103520.0,103415.0,4343,16373,5
632658,103510.0,103560.0,103595.0,103500.0,10147,39366,5
632659,103560.0,103640.0,103650.0,103555.0,7228,25898,5
632660,103640.0,103740.0,103790.0,103630.0,13196,51372,5
632661,103740.0,103810.0,103865.0,103725.0,10808,42907,5
632662,103805.0,103825.0,103885.0,103790.0,6579,26828,5
632663,103825.0,103780.0,103835.0,103750.0,6005,27072,5
632664,103775.0,103795.0,103800.0,103730.0,3989,15993,5
632665,103795.0,103785.0,103835.0,103765.0,3646,15238,5
632666,103780.0,103860.0,103890.0,103780.0,7435,25866,5
632667,103865.0,103900.0,103975.0,103840.0,10516,41861,5
632668,103895.0,103910.0,103955.0,103840.0,6794,29216,5
632669,103915.0,103925.0,103970.0,103910.0,3676,14177,5
632670,103925.0,103935.0,103960.0,103915.0,2760,10950,5
632671,103940.0,103945.0,103995.0,103935.0,5046,20636,5
632672,103945.0,103860.0,103950.0,103860.0,5220,18989,5
632673,103860.0,103875.0,103890.0,103830.0,3765,13780,5
632674,103875.0,103875.0,103915.0,103860.0,2650,10446,5
632675,103880.0,103920.0,103955.0,103875.0,3226,12587,5
632676,103920.0,103920.0,103940.0,103885.0,2879,12101,5
632677,103920.0,103900.0,103945.0,103885.0,2207,8870,5
632678,103900.0,103955.0,103985.0,103890.0,3643,14416,5
632679,103955.0,103955.0,103965.0,103930.0,2327,10430,5
632680,103955.0,104120.0,104120.0,103935.0,8411,37482,5
632681,104120.0,104200.0,104365.0,104100.0,17164,73360,5
632682,104195.0,104230.0,104240.0,104185.0,3928,17257,5
632683,104230.0,104200.0,104270.0,104190.0,4468,19314,5
632684,104195.0,104210.0,104245.0,104185.0,3790,18664,5
632685,104215.0,104145.0,104240.0,104135.0,4641,19971,5
632686,104145.0,104175.0,104205.0,104135.0,3102,12468,5
632687,104175.0,104250.0,104280.0,104170.0,4636,20337,5
632688,104250.0,104215.0,104280.0,104210.0,3479,14924,5
632689,104220.0,104240.0,104260.0,104215.0,1568,6517,5
632690,104250.0,104185.0,104260.0,104170.0,2749,11501,5
632691,104190.0,104125.0,104190.0,104100.0,6440,25647,5
